icao,iata,name,lat,long,country,alt,utcoffset,tzolson
KZUN,\N,Black Rock Airport,35.0831985473633,-108.791999816895,United States,6454,-7,America/Denver
KBLI,BLI,Bellingham International Airport,48.7928009033203,-122.53800201416,United States,170,-8,America/Los_Angeles
KNQA,NQA,Millington-Memphis Airport,35.356701,-89.8703,United States,320,-6,America/Chicago
KEKN,EKN,Elkins-Randolph Co-Jennings Randolph Field,38.88940048,-79.85710144,United States,1987,-5,America/New_York
KHFD,HFD,Hartford Brainard Airport,41.736698150635,-72.649398803711,United States,18,-5,America/New_York
KSFZ,SFZ,North Central State Airport,41.9207992554,-71.4914016724,United States,441,-5,America/New_York
KMOB,MOB,Mobile Regional Airport,30.691200256348,-88.242797851562,United States,219,-6,America/Chicago
KNUQ,NUQ,Moffett Federal Airfield,37.4161,-122.049004,United States,32,-8,America/Los_Angeles
KSAF,SAF,Santa Fe Municipal Airport,35.617099762,-106.088996887,United States,6348,-7,America/Denver
PHBK,BKH,Barking Sands Airport,22.0228004456,-159.785003662,United States,23,-10,Pacific/Honolulu
KDRI,DRI,Beauregard Regional Airport,30.8316993713,-93.3398971558,United States,202,-6,America/Chicago
PHSF,BSF,Bradshaw Army Airfield,19.760099411,-155.554000854,United States,6190,-10,Pacific/Honolulu
KOLS,OLS,Nogales International Airport,31.4177,-110.848,United States,3955,-7,America/Phoenix
KMCF,MCF,Mac Dill Air Force Base,27.84930038,-82.52120209,United States,14,-5,America/New_York
KBLV,BLV,Scott AFB/Midamerica Airport,38.5452,-89.835197,United States,459,-6,America/Chicago
KOPF,OPF,Opa-locka Executive Airport,25.907,-80.278397,United States,8,-5,America/New_York
KDRT,DRT,Del Rio International Airport,29.3742008209,-100.927001953,United States,1002,-6,America/Chicago
KRSW,RSW,Southwest Florida International Airport,26.5361995697021,-81.7552032470703,United States,30,-5,America/New_York
PAKN,AKN,King Salmon Airport,58.67679977,-156.6490021,United States,73,-9,America/Anchorage
KMUI,MUI,Muir Army Air Field (Fort Indiantown Gap) Airport,40.434799,-76.569397,United States,488,-5,America/New_York
PHJH,JHM,Kapalua Airport,20.9629001617432,-156.673004150391,United States,256,-10,Pacific/Honolulu
KJFK,JFK,John F Kennedy International Airport,40.63980103,-73.77890015,United States,13,-5,America/New_York
KHST,HST,Homestead ARB Airport,25.48859978,-80.38359833,United States,5,-5,America/New_York
KRAL,RAL,Riverside Municipal Airport,33.95190048,-117.4449997,United States,819,-8,America/Los_Angeles
KFLV,FLV,Sherman Army Air Field,39.3683013916,-94.9147033691,United States,772,-6,America/Chicago
KWAL,WAL,Wallops Flight Facility Airport,37.9402008057,-75.4664001465,United States,40,-5,America/New_York
KHMN,HMN,Holloman Air Force Base,32.8525009155,-106.107002258,United States,4093,-7,America/Denver
KNXX,NXX,Willow Grove Naval Air Station/Joint Reserve Base,40.19979858,-75.14820099,United States,358,-5,America/New_York
KCYS,CYS,Cheyenne Regional Jerry Olson Field,41.15570068,-104.8119965,United States,6159,-7,America/Denver
KSCK,SCK,Stockton Metropolitan Airport,37.894199371338,-121.2379989624,United States,33,-8,America/Los_Angeles
KCHS,CHS,Charleston Air Force Base-International Airport,32.89860153,-80.04049683,United States,46,-5,America/New_York
KRNO,RNO,Reno Tahoe International Airport,39.4990997314453,-119.767997741699,United States,4415,-8,America/Los_Angeles
PAKT,KTN,Ketchikan International Airport,55.35559845,-131.7140045,United States,89,-9,America/Anchorage
KYIP,YIP,Willow Run Airport,42.23789978,-83.53040314,United States,716,-5,America/New_York
KVBG,VBG,Vandenberg Air Force Base,34.7373008728,-120.583999634,United States,369,-8,America/Los_Angeles
KBHM,BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,United States,650,-6,America/Chicago
KNEL,NEL,Lakehurst Maxfield Field Airport,40.03329849,-74.353302,United States,101,-5,America/New_York
PASY,SYA,Eareckson Air Station,52.71229935,174.1139984,United States,95,-10,America/Adak
KLSV,LSV,Nellis Air Force Base,36.2361984253,-115.033996582,United States,1870,-8,America/Los_Angeles
KRIV,RIV,March ARB Airport,33.880699,-117.259003,United States,1536,-8,America/Los_Angeles
KMOD,MOD,Modesto City Co-Harry Sham Field,37.62580109,-120.9540024,United States,97,-8,America/Los_Angeles
KSMF,SMF,Sacramento International Airport,38.6954002380371,-121.591003417969,United States,27,-8,America/Los_Angeles
KUGN,UGN,Waukegan National Airport,42.422199249268,-87.867897033691,United States,727,-6,America/Chicago
KCOS,COS,City of Colorado Springs Municipal Airport,38.805801,-104.700996,United States,6187,-7,America/Denver
KBUF,BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,United States,728,-5,America/New_York
KSKY,SKY,Griffing Sandusky Airport,41.4333992004,-82.6522979736,United States,580,-5,America/New_York
KPAE,PAE,Snohomish County (Paine Field) Airport,47.90629959,-122.2819977,United States,606,-8,America/Los_Angeles
KMUO,MUO,Mountain Home Air Force Base,43.043598,-115.872002,United States,2996,-7,America/Denver
KCDC,CDC,Cedar City Regional Airport,37.701000213623,-113.098999023438,United States,5622,-7,America/Denver
KBDL,BDL,Bradley International Airport,41.9388999939,-72.6831970215,United States,173,-5,America/New_York
KMFE,MFE,Mc Allen Miller International Airport,26.17580032,-98.23860168,United States,107,-6,America/Chicago
KNGU,NGU,Norfolk Naval Station (Chambers Field),36.937599,-76.289299,United States,17,-5,America/New_York
KCEF,CEF,Westover ARB/Metropolitan Airport,42.19400024,-72.53479767,United States,241,-5,America/New_York
KLBB,LBB,Lubbock Preston Smith International Airport,33.663601,-101.822998,United States,3282,-6,America/Chicago
KORD,ORD,Chicago O'Hare International Airport,41.9786,-87.9048,United States,672,-6,America/Chicago
KBCT,BCT,Boca Raton Airport,26.3784999847,-80.1076965332,United States,13,-5,America/New_York
PAFA,FAI,Fairbanks International Airport,64.81510162,-147.8560028,United States,439,-9,America/Anchorage
KNYG,\N,Quantico MCAF /Turner field,38.50170135,-77.30529785,United States,10,-5,America/New_York
KCVS,CVS,Cannon Air Force Base,34.3828010559,-103.321998596,United States,4295,-7,America/Denver
PHNG,NGF,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,21.4505004883,-157.768005371,United States,24,-10,Pacific/Honolulu
KOFF,OFF,Offutt Air Force Base,41.118301391602,-95.912498474121,United States,1052,-6,America/Chicago
PAGK,GKN,Gulkana Airport,62.1548996,-145.4570007,United States,1586,-9,America/Anchorage
KART,ART,Watertown International Airport,43.9919013977051,-76.0216979980469,United States,325,-5,America/New_York
KPSP,PSP,Palm Springs International Airport,33.8297004699707,-116.50700378418,United States,477,-8,America/Los_Angeles
KAMA,AMA,Rick Husband Amarillo International Airport,35.219398,-101.706001,United States,3607,-6,America/Chicago
KFOD,FOD,Fort Dodge Regional Airport,42.55149841,-94.19259644,United States,1156,-6,America/Chicago
KBAD,BAD,Barksdale Air Force Base,32.5018005371,-93.6626968384,United States,166,-6,America/Chicago
KFOE,FOE,Topeka Regional Airport - Forbes Field,38.9509010315,-95.6635971069,United States,1078,-6,America/Chicago
KCOT,COT,Cotulla-La Salle County Airport,28.45669937,-99.22029877,United States,474,-6,America/Chicago
KILM,ILM,Wilmington International Airport,34.2705993652344,-77.9026031494141,United States,32,-5,America/New_York
KBTR,BTR,Baton Rouge Metropolitan Airport,30.533199,-91.149597,United States,70,-6,America/Chicago
KNMM,\N,Meridian Naval Air Station,32.55210114,-88.55560303,United States,316,-6,America/Chicago
KTYR,TYR,Tyler Pounds Regional Airport,32.3540992736816,-95.4023971557617,United States,544,-6,America/Chicago
KBWI,BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,United States,146,-5,America/New_York
KHBR,HBR,Hobart Regional Airport,34.991317,-99.051313,United States,1563,-6,America/Chicago
PHNY,LNY,Lanai Airport,20.7856006622314,-156.95100402832,United States,1308,-10,Pacific/Honolulu
KAEX,AEX,Alexandria International Airport,31.3274002075195,-92.5497970581055,United States,89,-6,America/Chicago
KWSD,WSD,Condron Army Air Field,32.34149933,-106.4029999,United States,3934,-7,America/Denver
PACD,CDB,Cold Bay Airport,55.2061004638672,-162.725006103516,United States,96,-9,America/Anchorage
KTUL,TUL,Tulsa International Airport,36.1983985900879,-95.8880996704102,United States,677,-6,America/Chicago
PASI,SIT,Sitka Rocky Gutierrez Airport,57.0471000671387,-135.361999511719,United States,21,-9,America/Anchorage
KISP,ISP,Long Island Mac Arthur Airport,40.79520035,-73.10019684,United States,99,-5,America/New_York
KMSP,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.882,-93.221802,United States,841,-6,America/Chicago
KILG,ILG,New Castle Airport,39.67869949,-75.60649872,United States,80,-5,America/New_York
PADU,DUT,Unalaska Airport,53.900100708,-166.544006348,United States,22,-9,America/Anchorage
KMSY,MSY,Louis Armstrong New Orleans International Airport,29.9934005737305,-90.2580032348633,United States,4,-6,America/Chicago
KPWM,PWM,Portland International Jetport Airport,43.64619827,-70.30930328,United States,76,-5,America/New_York
KOKC,OKC,Will Rogers World Airport,35.3931007385254,-97.600700378418,United States,1295,-6,America/Chicago
KALB,ALB,Albany International Airport,42.7482986450195,-73.8016967773438,United States,285,-5,America/New_York
PAVD,VDZ,Valdez Pioneer Field,61.13389969,-146.2480011,United States,121,-9,America/Anchorage
KLFI,LFI,Langley Air Force Base,37.082901001,-76.360496521,United States,11,-5,America/New_York
KSNA,SNA,John Wayne Airport-Orange County Airport,33.67570114,-117.8679962,United States,56,-8,America/Los_Angeles
KCBM,CBM,Columbus Air Force Base,33.6437988281,-88.4438018799,United States,219,-6,America/Chicago
KTMB,TMB,Kendall-Tamiami Executive Airport,25.6478996277,-80.432800293,United States,8,-5,America/New_York
KNTU,NTU,Oceana Naval Air Station,36.820702,-76.033501,United States,23,-5,America/New_York
KGUS,GUS,Grissom Air Reserve Base,40.6481018066,-86.1520996094,United States,812,-5,America/New_York
KCPR,CPR,Casper-Natrona County International Airport,42.908001,-106.463997,United States,5350,-7,America/Denver
KVPS,VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,United States,87,-6,America/Chicago
KSEM,SEM,Craig Field,32.343898773193,-86.987800598145,United States,166,-6,America/Chicago
KEYW,EYW,Key West International Airport,24.5561008453369,-81.7595977783203,United States,3,-5,America/New_York
KCLT,CLT,Charlotte Douglas International Airport,35.2140007019043,-80.9430999755859,United States,748,-5,America/New_York
KLAS,LAS,McCarran International Airport,36.08010101,-115.1520004,United States,2181,-8,America/Los_Angeles
KMCO,MCO,Orlando International Airport,28.4293994903564,-81.3089981079102,United States,96,-5,America/New_York
KFLO,FLO,Florence Regional Airport,34.1853981018066,-79.7238998413086,United States,146,-5,America/New_York
KGTF,GTF,Great Falls International Airport,47.48199844,-111.3710022,United States,3680,-7,America/Denver
KYNG,YNG,Youngstown Warren Regional Airport,41.26070023,-80.67910004,United States,1192,-5,America/New_York
PAFB,FBK,Ladd AAF Airfield,64.83750153,-147.6139984,United States,454,-9,America/Anchorage
KMMV,\N,Mc Minnville Municipal Airport,45.19440079,-123.1360016,United States,163,-8,America/Los_Angeles
KWRB,WRB,Robins Air Force Base,32.6400985718,-83.5919036865,United States,294,-5,America/New_York
VTBS,BKK,Suvarnabhumi Airport,13.6810998916626,100.747001647949,Thailand,5,7,Asia/Bangkok
WAMH,NAH,Naha Airport,3.68320989608765,125.52799987793,Indonesia,16,8,Asia/Makassar
WAWM,MXB,Andi Jemma Airport,-2.55803,120.323997,Indonesia,164,8,Asia/Makassar
WAWS,SQR,Soroako Airport,-2.53119993209839,121.358001708984,Indonesia,1388,8,Asia/Makassar
WAWT,TTR,Pongtiku Airport,-3.0447399616241,119.82199859619,Indonesia,2884,8,Asia/Makassar
WAWW,KDI,Wolter Monginsidi Airport,-4.08161020278931,122.417999267578,Indonesia,538,8,Asia/Makassar
WITB,SBG,Maimun Saleh Airport,5.87412977219,95.3396987915,Indonesia,393,7,Asia/Jakarta
WICM,TSY,Cibeureum Airport,-7.34660005569,108.246002197,Indonesia,1148,7,Asia/Jakarta
WARI,\N,Iswahyudi Airport,-7.61576986312866,111.43399810791,Indonesia,361,7,Asia/Jakarta
WARA,MLG,Abdul Rachman Saleh Airport,-7.92655992508,112.714996338,Indonesia,1726,7,Asia/Jakarta
WICB,\N,Budiarto Airport,-6.293171,106.57,Indonesia,151,7,Asia/Jakarta
WICC,BDO,Husein Sastranegara International Airport,-6.90062999725342,107.575996398926,Indonesia,2436,7,Asia/Jakarta
WICD,CBN,Penggung Airport,-6.75614023209,108.540000916,Indonesia,89,7,Asia/Jakarta
WARJ,JOG,Adi Sutjipto International Airport,-7.78817987442017,110.431999206543,Indonesia,350,7,Asia/Jakarta
WIHL,CXP,Tunggul Wulung Airport,-7.64506006241,109.033996582,Indonesia,69,7,Asia/Jakarta
WIHP,PCB,Pondok Cabe Air Base,-6.33695983886719,106.764999389648,Indonesia,200,7,Asia/Jakarta
WARS,SRG,Achmad Yani Airport,-6.97273,110.375,Indonesia,10,7,Asia/Jakarta
WIDD,BTH,Hang Nadim International Airport,1.12102997303,104.119003296,Indonesia,126,7,Asia/Jakarta
WIOD,TJQ,Buluh Tumbang (H A S Hanandjoeddin) Airport,-2.74571990967,107.754997253,Indonesia,164,7,Asia/Jakarta
WIPK,PGK,Pangkal Pinang (Depati Amir) Airport,-2.16219997406,106.138999939,Indonesia,109,7,Asia/Jakarta
WIDN,TNJ,Raja Haji Fisabilillah International Airport,0.922683000565,104.531997681,Indonesia,52,7,Asia/Jakarta
WIDS,SIQ,Dabo Airport,-0.47918900847435,104.579002380371,Indonesia,95,7,Asia/Jakarta
WAOO,BDJ,Syamsudin Noor Airport,-3.44235992431641,114.763000488281,Indonesia,66,8,Asia/Makassar
WAOC,BTW,Batu Licin Airport,-3.41241002083,115.995002747,Indonesia,3,8,Asia/Makassar
WAOI,PKN,Iskandar Airport,-2.70519995689,111.672996521,Indonesia,75,7,Asia/Jakarta
WAOP,PKY,Tjilik Riwut Airport,-2.22513008118,113.943000793,Indonesia,82,7,Asia/Jakarta
WATC,MOF,Maumere(Wai Oti) Airport,-8.64064979553,122.236999512,Indonesia,115,8,Asia/Makassar
WATE,ENE,Ende (H Hasan Aroeboesman) Airport,-8.8492898941,121.661003113,Indonesia,49,8,Asia/Makassar
WATG,RTG,Frans Sales Lega Airport,-8.5970096588135,120.47699737549,Indonesia,3510,8,Asia/Makassar
WATT,KOE,El Tari Airport,-10.1716003417969,123.670997619629,Indonesia,335,8,Asia/Makassar
WATO,LBJ,Komodo Airport,-8.48666,119.889,Indonesia,66,8,Asia/Makassar
WALL,BPN,Sultan Aji Muhamad Sulaiman Airport,-1.26827001572,116.893997192,Indonesia,12,8,Asia/Makassar
WALR,TRK,Juwata Airport,3.326667,117.569444,Indonesia,23,8,Asia/Makassar
WALS,SRI,Temindung Airport,-0.484530985355,117.156997681,Indonesia,33,8,Asia/Makassar
WALT,TSX,Tanjung Santan Airport,-0.0929730013013,117.45300293,Indonesia,121,8,Asia/Makassar
WADA,AMI,Selaparang Airport,-8.56070995331,116.095001221,Indonesia,52,8,Asia/Makassar
WADB,BMU,Muhammad Salahuddin Airport,-8.5396499633789,118.68699645996,Indonesia,3,8,Asia/Makassar
WADW,WGP,Umbu Mehang Kunda Airport,-9.66922,120.302002,Indonesia,33,8,Asia/Makassar
WARR,SUB,Juanda International Airport,-7.37982988357544,112.787002563477,Indonesia,9,7,Asia/Jakarta
WARQ,SOC,Adi Sumarmo Wiryokusumo Airport,-7.51608991622925,110.75700378418,Indonesia,421,7,Asia/Jakarta
RKSI,ICN,Incheon International Airport,37.4691009521484,126.450996398926,South Korea,23,9,Asia/Seoul
VTCC,CNX,Chiang Mai International Airport,18.7667999268,98.962600708,Thailand,1036,7,Asia/Bangkok
VTCT,CEI,Chiang Rai International Airport,19.952299118,99.8828964233,Thailand,1280,7,Asia/Bangkok
VTSF,NST,Nakhon Si Thammarat Airport,8.5396203994751,99.9447021484375,Thailand,13,7,Asia/Bangkok
VTUQ,NAK,Nakhon Ratchasima Airport,14.9495000839233,102.313003540039,Thailand,765,7,Asia/Bangkok
VTUW,KOP,Nakhon Phanom Airport,17.3838005065918,104.642997741699,Thailand,587,7,Asia/Bangkok
VTUU,UBP,Ubon Ratchathani Airport,15.2512998581,104.870002747,Thailand,406,7,Asia/Bangkok
VTUK,KKC,Khon Kaen Airport,16.4666004181,102.783996582,Thailand,670,7,Asia/Bangkok
VTPO,THS,Sukhothai Airport,17.238000869751,99.8181991577149,Thailand,179,7,Asia/Bangkok
WADD,DPS,Ngurah Rai (Bali) International Airport,-8.7481698989868,115.16699981689,Indonesia,14,8,Asia/Makassar
LGAV,ATH,Eleftherios Venizelos International Airport,37.9364013672,23.9444999695,Greece,308,2,Europe/Athens
RJGG,NGO,Chubu Centrair International Airport,34.8583984375,136.804992675781,Japan,15,9,Asia/Tokyo
RJBE,UKB,Kobe Airport,34.6328010559082,135.223999023438,Japan,22,9,Asia/Tokyo
KPUW,PUW,Pullman Moscow Regional Airport,46.7439,-117.110001,United States,2556,-8,America/Los_Angeles
KLWS,LWS,Lewiston Nez Perce County Airport,46.3745002746582,-117.014999389648,United States,1442,-8,America/Los_Angeles
KELM,ELM,Elmira Corning Regional Airport,42.1599006652832,-76.8916015625,United States,954,-5,America/New_York
KITH,ITH,Ithaca Tompkins Regional Airport,42.4910011291504,-76.4583969116211,United States,1099,-5,America/New_York
KMRY,MRY,Monterey Peninsula Airport,36.5870018005371,-121.843002319336,United States,257,-8,America/Los_Angeles
KSBA,SBA,Santa Barbara Municipal Airport,34.42620087,-119.8399963,United States,13,-8,America/Los_Angeles
KDAB,DAB,Daytona Beach International Airport,29.179899,-81.058098,United States,34,-5,America/New_York
EVLA,LPX,Liepāja International Airport,56.5175018310547,21.0969009399414,Latvia,16,2,Europe/Riga
EVRA,RIX,Riga International Airport,56.9235992431641,23.9710998535156,Latvia,36,2,Europe/Riga
EYSA,SQQ,Šiauliai International Airport,55.8939018249512,23.3950004577637,Lithuania,443,2,Europe/Vilnius
EYSB,HLJ,Barysiai Airport,56.0705986022949,23.5580997467041,Lithuania,270,2,Europe/Vilnius
EYKA,KUN,Kaunas International Airport,54.9639015197754,24.0848007202148,Lithuania,256,2,Europe/Vilnius
EYKS,\N,S. Darius and S. Girėnas Airfield,54.879799,23.8815,Lithuania,246,2,Europe/Vilnius
EYPA,PLQ,Palanga International Airport,55.973201751709,21.093900680542,Lithuania,33,2,Europe/Vilnius
EYVI,VNO,Vilnius International Airport,54.634102,25.285801,Lithuania,648,2,Europe/Vilnius
EYPP,PNV,Panevėžys Air Base,55.7294006347656,24.4608001708984,Lithuania,197,2,Europe/Vilnius
UDYE,\N,Erebuni Airport,40.1221008301,44.4650001526,Armenia,2948,4,Asia/Yerevan
UDLS,\N,Stepanavan Airport,41.048500061,44.3372001648,Armenia,4836,4,Asia/Yerevan
UDYZ,EVN,Zvartnots International Airport,40.1473007202,44.3959007263,Armenia,2838,4,Asia/Yerevan
UDSG,LWN,Gyumri Shirak Airport,40.7504005432,43.8592987061,Armenia,5000,4,Asia/Yerevan
HHSB,ASA,Assab International Airport,13.0718002319336,42.6450004577637,Eritrea,46,3,Africa/Asmera
HHAS,ASM,Asmara International Airport,15.2918996810913,38.910701751709,Eritrea,7661,3,Africa/Asmera
HHMS,MSW,Massawa International Airport,15.6700000762939,39.3700981140137,Eritrea,194,3,Africa/Asmera
LVGZ,GZA,Yasser Arafat International Airport,31.24640083313,34.276100158691,Palestine,320,2,Asia/Gaza
UGSB,BUS,Batumi International Airport,41.6102981567,41.5997009277,Georgia,105,4,Asia/Tbilisi
UGKO,KUT,Kopitnari Airport,42.176700592,42.4826011658,Georgia,223,4,Asia/Tbilisi
UGTB,TBS,Tbilisi International Airport,41.6692008972,44.95470047,Georgia,1624,4,Asia/Tbilisi
OYRN,RIY,Mukalla International Airport,14.6625995635986,49.375,Yemen,54,3,Asia/Aden
OYTZ,TAI,Ta'izz International Airport,13.6859998703,44.1390991211,Yemen,4838,3,Asia/Aden
OYHD,HOD,Hodeidah International Airport,14.7530002593994,42.9762992858887,Yemen,41,3,Asia/Aden
OYAA,ADE,Aden International Airport,12.8295001983643,45.0288009643555,Yemen,7,3,Asia/Aden
